CMDLINE /usr/bin/python3 detect_video.py
MEM 345.355469 1628090717.1293
MEM 345.355469 1628090717.2301
MEM 348.445312 1628090717.3311
MEM 348.445312 1628090717.4320
MEM 348.445312 1628090717.5328
MEM 348.445312 1628090717.6338
MEM 348.445312 1628090717.7345
MEM 348.445312 1628090717.8354
MEM 348.445312 1628090717.9363
MEM 348.445312 1628090718.0372
MEM 352.296875 1628090718.1381
MEM 352.296875 1628090718.2390
MEM 352.296875 1628090718.3398
MEM 352.296875 1628090718.4407
MEM 352.296875 1628090718.5415
MEM 352.296875 1628090718.6425
MEM 352.296875 1628090718.7434
MEM 352.296875 1628090718.8442
MEM 353.566406 1628090718.9451
MEM 353.566406 1628090719.0460
MEM 353.566406 1628090719.1469
MEM 353.566406 1628090719.2478
MEM 353.566406 1628090719.3486
MEM 353.566406 1628090719.4496
MEM 353.566406 1628090719.5504
MEM 353.566406 1628090719.6513
MEM 354.339844 1628090719.7523
MEM 354.339844 1628090719.8533
MEM 354.339844 1628090719.9541
MEM 354.339844 1628090720.0550
MEM 354.339844 1628090720.1558
MEM 354.339844 1628090720.2566
MEM 354.453125 1628090720.3575
MEM 354.453125 1628090720.4584
MEM 355.484375 1628090720.5592
MEM 355.484375 1628090720.6601
MEM 355.484375 1628090720.7610
MEM 355.484375 1628090720.8618
MEM 355.484375 1628090720.9627
MEM 355.484375 1628090721.0635
MEM 355.484375 1628090721.1645
MEM 355.738281 1628090721.2654
MEM 357.027344 1628090721.3662
MEM 357.027344 1628090721.4670
MEM 357.097656 1628090721.5679
MEM 357.097656 1628090721.6686
MEM 357.097656 1628090721.7696
MEM 357.097656 1628090721.8704
MEM 357.097656 1628090721.9713
MEM 357.097656 1628090722.0722
MEM 357.097656 1628090722.1731
MEM 357.097656 1628090722.2740
MEM 357.097656 1628090722.3748
MEM 357.097656 1628090722.4757
MEM 361.929688 1628090722.5767
MEM 361.765625 1628090722.6776
MEM 361.765625 1628090722.7784
MEM 361.765625 1628090722.8793
MEM 361.765625 1628090722.9801
MEM 361.765625 1628090723.0812
MEM 361.765625 1628090723.1820
MEM 361.820312 1628090723.2829
MEM 375.199219 1628090723.3838
MEM 375.199219 1628090723.4846
MEM 375.199219 1628090723.5855
MEM 375.199219 1628090723.6863
MEM 375.199219 1628090723.7872
MEM 375.199219 1628090723.8879
MEM 375.199219 1628090723.9887
MEM 375.199219 1628090724.0895
MEM 389.355469 1628090724.1904
MEM 389.355469 1628090724.2912
MEM 389.355469 1628090724.3920
MEM 389.355469 1628090724.4929
MEM 389.355469 1628090724.5938
MEM 389.355469 1628090724.6947
MEM 389.355469 1628090724.7955
MEM 389.355469 1628090724.8965
MEM 398.238281 1628090724.9974
MEM 398.496094 1628090725.0983
MEM 398.496094 1628090725.1992
MEM 398.496094 1628090725.3000
MEM 398.496094 1628090725.4009
MEM 398.496094 1628090725.5018
MEM 398.496094 1628090725.6026
MEM 398.496094 1628090725.7035
MEM 407.316406 1628090725.8044
MEM 407.316406 1628090725.9053
MEM 407.316406 1628090726.0062
MEM 407.316406 1628090726.1070
MEM 407.316406 1628090726.2079
MEM 407.343750 1628090726.3087
MEM 407.343750 1628090726.4096
MEM 407.343750 1628090726.5105
MEM 421.003906 1628090726.6113
MEM 421.003906 1628090726.7121
MEM 421.003906 1628090726.8130
MEM 421.003906 1628090726.9139
MEM 421.003906 1628090727.0147
MEM 421.003906 1628090727.1156
MEM 421.257812 1628090727.2164
MEM 421.265625 1628090727.3173
MEM 434.718750 1628090727.4183
MEM 434.718750 1628090727.5191
MEM 434.718750 1628090727.6200
MEM 434.718750 1628090727.7208
MEM 434.718750 1628090727.8218
MEM 434.718750 1628090727.9225
MEM 434.718750 1628090728.0235
MEM 434.718750 1628090728.1244
MEM 439.226562 1628090728.2255
MEM 439.226562 1628090728.3262
MEM 439.226562 1628090728.4271
MEM 439.226562 1628090728.5279
MEM 439.226562 1628090728.6287
MEM 439.226562 1628090728.7297
MEM 439.226562 1628090728.8305
MEM 439.226562 1628090728.9314
MEM 439.226562 1628090729.0322
MEM 439.226562 1628090729.1332
MEM 439.492188 1628090729.2339
MEM 439.492188 1628090729.3344
MEM 439.492188 1628090729.4352
MEM 457.628906 1628090729.5361
MEM 457.628906 1628090729.6370
MEM 457.628906 1628090729.7377
MEM 457.628906 1628090729.8386
MEM 457.628906 1628090729.9394
MEM 457.628906 1628090730.0404
MEM 457.628906 1628090730.1413
MEM 511.441406 1628090730.2423
MEM 511.636719 1628090730.3432
MEM 511.636719 1628090730.4440
MEM 511.636719 1628090730.5449
MEM 511.636719 1628090730.6458
MEM 511.636719 1628090730.7466
MEM 511.636719 1628090730.8474
MEM 511.636719 1628090730.9482
MEM 529.902344 1628090731.0493
MEM 547.941406 1628090731.1501
MEM 547.941406 1628090731.2509
MEM 547.941406 1628090731.3518
MEM 547.941406 1628090731.4526
MEM 547.941406 1628090731.5535
MEM 547.941406 1628090731.6543
MEM 547.949219 1628090731.7552
MEM 583.230469 1628090731.8563
MEM 583.488281 1628090731.9572
MEM 583.488281 1628090732.0581
MEM 583.488281 1628090732.1589
MEM 583.738281 1628090732.2599
MEM 583.738281 1628090732.3607
MEM 583.738281 1628090732.4623
MEM 583.738281 1628090732.5631
MEM 601.750000 1628090732.6640
MEM 601.750000 1628090732.7650
MEM 601.750000 1628090732.8658
MEM 601.750000 1628090732.9666
MEM 601.750000 1628090733.0675
MEM 601.960938 1628090733.1683
MEM 601.960938 1628090733.2691
MEM 601.960938 1628090733.3699
MEM 601.960938 1628090733.4707
